effect,component,group,term,estimate,std.error,statistic,p.value,lg.grp.ref,model
fixed,cond,NA,(Intercept),1.1603191854854509,0.18466745387401823,6.283290104151384,3.3148165772558587e-10,NA English,TDS_random_z-inb
fixed,cond,NA,tchiyr.std,-0.028595527990159294,0.09172286938204667,-0.3117600679395713,0.7552228736895988,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan,-2.0286516234631846,0.18972272657690709,-10.692718052630552,1.100963402755707e-26,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild,-3.541466596263005,0.3673270277880856,-9.641181640208925,5.356775329577222e-22,NA English,TDS_random_z-inb
fixed,cond,NA,nsk.std,0.33444165500240935,0.043895071880302325,7.6191162396179655,2.5541837996904953e-14,NA English,TDS_random_z-inb
fixed,cond,NA,group_corpNEUK_English,-0.14695514969970513,0.2669044706907886,-0.5505908137071038,0.5819142075720541,NA English,TDS_random_z-inb
fixed,cond,NA,group_corpNEArg_Spanish,-0.13139141442941202,0.25436657805600166,-0.5165435468510517,0.6054748326756434,NA English,TDS_random_z-inb
fixed,cond,NA,group_corpNETseltal,0.017321835936413406,0.29061104759986384,0.05960487765166957,0.9524703334740595,NA English,TDS_random_z-inb
fixed,cond,NA,group_corpNEYeli_Dnye,-0.9472843430194615,0.3188721729445933,-2.9707338030529873,0.0029708917019970566,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEUK_English,0.6451500870706386,0.3309934797583171,1.9491323138501415,0.05127962557362618,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEUK_English,1.1010110598589646,0.5102942428361916,2.157600394900786,0.030958913977241362,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEArg_Spanish,0.7034264705953865,0.3072349427527424,2.289539283171617,0.022048038183385212,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEArg_Spanish,1.5847599570101842,0.4548262693631732,3.484319318734804,4.93390462430302e-4,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNETseltal,0.13336761376283782,0.4093462170924652,0.3258063912502508,0.7445708428437996,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNETseltal,1.9110188459278339,0.48813709796077187,3.9149223730612848,9.043329854601101e-5,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEYeli_Dnye,0.7520333613345538,0.372878998565358,2.0168294922159253,0.04371331008514776,NA English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEYeli_Dnye,2.807114128540253,0.4595093182995449,6.1089384191994816,1.0029601470556412e-9,NA English,TDS_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeMan,-0.13372849983688795,0.13196873527271646,-1.0133347081074535,0.3109003145161616,NA English,TDS_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeChild,0.2875015043498034,0.12242020719175903,2.348480785524738,0.018850171751843357,NA English,TDS_random_z-inb
fixed,zi,NA,(Intercept),-2.6686159138203647,1.9378520177312022,-1.3770999485010862,0.1684813486366611,NA English,TDS_random_z-inb
fixed,zi,NA,tchiyr.std,-1.5409075968453358,1.3967278876773148,-1.103226770539954,0.26992869851880436,NA English,TDS_random_z-inb
fixed,zi,NA,group_corpNEUK_English,-14.313696755763367,1941.31718733618,-0.007373188085458725,0.9941171003656623,NA English,TDS_random_z-inb
fixed,zi,NA,group_corpNEArg_Spanish,-1.849746893016469,9.439727132200963,-0.19595342822003617,0.8446466181302282,NA English,TDS_random_z-inb
fixed,zi,NA,group_corpNETseltal,0.4244519073305974,0.9125743402147083,0.4651148828387322,0.6418491885909752,NA English,TDS_random_z-inb
fixed,zi,NA,group_corpNEYeli_Dnye,-1.4456138233849871,3.6065275478965315,-0.4008326026036113,0.68854337360148965,NA English,TDS_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.3590998700089969,NA,NA,NA,NA English,TDS_random_z-inb
fixed,cond,NA,(Intercept),1.0430828896280682,0.19059497019940294,5.472772385004606,4.430490204311514e-8,UK English,TDS_random_z-inb
fixed,cond,NA,tchiyr.std,-0.02569814068878105,0.0933503764447402,-0.27528695295613886,0.7830957874138377,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan,-1.3853061765069834,0.26079291964465506,-5.311901022445474,1.0848752492084282e-7,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild,-2.4360815119511967,0.3494938904936973,-6.970312151980604,3.162385194160574e-12,UK English,TDS_random_z-inb
fixed,cond,NA,nsk.std,0.3346842255078365,0.04295934274938372,7.790720343658837,6.662823709853436e-15,UK English,TDS_random_z-inb
fixed,cond,NA,group_corpUKNA_English,0.07651151745309043,0.21689773362489304,0.352753881630736,0.7242729609623961,UK English,TDS_random_z-inb
fixed,cond,NA,group_corpUKArg_Spanish,0.040204445500447286,0.24190361843420313,0.16620026505053187,0.8679993508683266,UK English,TDS_random_z-inb
fixed,cond,NA,group_corpUKTseltal,0.025563362582915576,0.2651446533790972,0.09641289106579011,0.9231926542298448,UK English,TDS_random_z-inb
fixed,cond,NA,group_corpUKYeli_Dnye,-0.7437386893746053,0.2876926702124087,-2.5851847001367454,0.00973268446967077,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpUKNA_English,-0.6437465706789951,0.33167637084659757,-1.9408876460986484,0.052271906794427135,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpUKNA_English,-1.105535215617191,0.5096429537625371,-2.1692347700588512,0.030064864643522007,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpUKArg_Spanish,0.03178418993208845,0.3352827891649095,0.09479815534597971,0.9244751520956525,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpUKArg_Spanish,0.4631304776600578,0.4265165472598178,1.0858441029673256,0.277547970481742,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpUKTseltal,-0.4987733412114873,0.43553941259221146,-1.1451853191492471,0.2521323984621479,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpUKTseltal,0.8542153467548733,0.44833383444883074,1.9053109114662785,0.05673966793562737,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpUKYeli_Dnye,0.12250229843726589,0.4143334616804621,0.2956611274899656,0.7674888863598197,UK English,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpUKYeli_Dnye,1.7068032968489124,0.4305263524581247,3.964457197808641,7.356314407220555e-5,UK English,TDS_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeMan,-0.1365638023858739,0.13140128625054495,-1.0392881704786778,0.29867073480900813,UK English,TDS_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeChild,0.2719577239601417,0.1225367345256743,2.21939751383827,0.026459692655223837,UK English,TDS_random_z-inb
fixed,zi,NA,(Intercept),-2.945464744339941,1.6167935972914274,-1.8217939193193258,0.06848626074673182,UK English,TDS_random_z-inb
fixed,zi,NA,tchiyr.std,-1.6151771559216594,1.2808504300985872,-1.261019333691709,0.20730188153823642,UK English,TDS_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.3772348331149467,NA,NA,NA,UK English,TDS_random_z-inb
fixed,cond,NA,(Intercept),1.0832803143545613,0.19316297485831524,5.608115712388183,2.0454126341646815e-8,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,tchiyr.std,-0.02569530703494698,0.0933515981549076,-0.27525299558673005,0.7831218741701594,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan,-1.353545618646889,0.2291363360484883,-5.907162704916695,3.480499649509134e-9,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild,-1.9729695195968422,0.2664922458794973,-7.403478150313541,1.3266299850124183e-13,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,nsk.std,0.33468800815693944,0.04295924568155193,7.790825999085573,6.657254018750404e-15,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,group_corpASNA_English,0.03632437132390924,0.20386704587928578,0.17817676793834406,0.85858415427297,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,group_corpASUK_English,-0.04020583492086354,0.2419037031265899,-0.16620595055472775,0.8679948767168351,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,group_corpASTseltal,-0.014620810210712916,0.26244882486533533,-0.05570918527913003,0.955573482073598,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,group_corpASYeli_Dnye,-0.7839371149583627,0.2773027532292021,-2.8270080474477166,0.004698514711426892,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpASNA_English,-0.6755059317888472,0.2989068958183962,-2.2599208691366472,0.02382616244343668,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpASNA_English,-1.568628569501933,0.452260339316017,-3.4684194768753613,5.235293943755357e-4,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpASUK_English,-0.03173399696298744,0.33528264755875775,-0.0946484919337381,0.9245940316992822,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpASUK_English,-0.46311628257535503,0.42651920258062986,-1.0858040617475055,0.2775656890137414,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpASTseltal,-0.530567911064941,0.4171895814313677,-1.2717669248704027,0.2034559439194684,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpASTseltal,0.391068311232266,0.3921918953290417,0.9971351164821164,0.3186989297298184,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpASYeli_Dnye,0.09073934417448475,0.3951310024068186,0.22964369695562745,0.8183686488906053,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpASYeli_Dnye,1.243676098579802,0.3720625207498272,3.3426535305770373,8.29814367635211e-4,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeMan,-0.13656324705047967,0.1314011693768747,-1.0392848686056932,0.29867226997772933,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeChild,0.27195190223967036,0.12253714472672449,2.2193425744182496,0.026463427245355806,Argentinian Spanish,TDS_random_z-inb
fixed,zi,NA,(Intercept),-2.945490414703849,1.6169555158850182,-1.8216273643691896,0.06851154594319753,Argentinian Spanish,TDS_random_z-inb
fixed,zi,NA,tchiyr.std,-1.6151926970150492,1.280951070858373,-1.2609323913775248,0.20733320675523156,Argentinian Spanish,TDS_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.37723359785220933,NA,NA,NA,Argentinian Spanish,TDS_random_z-inb
fixed,cond,NA,(Intercept),1.0686460406472582,0.221973639727327,4.814292552755299,1.4772226649422937e-6,Tseltal,TDS_random_z-inb
fixed,cond,NA,tchiyr.std,-0.02569575215170499,0.09335035669383092,-0.2752614243990682,0.7831153989587416,Tseltal,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan,-1.8840980797157785,0.35643223773467086,-5.285992343706874,1.250251230106975e-7,Tseltal,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild,-1.581890148529456,0.3096635292117006,-5.108416068745381,3.248706549062599e-7,Tseltal,TDS_random_z-inb
fixed,cond,NA,nsk.std,0.3346830031241316,0.04295930137228725,7.790699392984852,6.663928682361591e-15,Tseltal,TDS_random_z-inb
fixed,cond,NA,group_corpTSNA_English,0.050953270612086855,0.23469086400188466,0.21710802774017518,0.828124157942923,Tseltal,TDS_random_z-inb
fixed,cond,NA,group_corpTSUK_English,-0.025573787307546732,0.26514336916462666,-0.09645267535115332,0.9231610582149836,Tseltal,TDS_random_z-inb
fixed,cond,NA,group_corpTSArg_Spanish,0.014641983578510091,0.2624482415698423,0.055789985449811404,0.955509112972789,Tseltal,TDS_random_z-inb
fixed,cond,NA,group_corpTSYeli_Dnye,-0.7693000599106281,0.2900603739235792,-2.6522066751293365,0.007996757640398037,Tseltal,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpTSNA_English,-0.14495825490693579,0.404437734531766,-0.3584192139607345,0.7200296148344876,Tseltal,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpTSNA_English,-1.9597468078075249,0.4828190485951097,-4.058967461018634,4.929018064908585e-5,Tseltal,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpTSUK_English,0.49881682797181476,0.4355404649006743,1.145282397780355,0.2520921951400167,Tseltal,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpTSUK_English,-0.8541971793798012,0.4483375973638724,-1.9052543984762709,0.056747010059622544,Tseltal,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpTSArg_Spanish,0.530572636314266,0.4171889650299952,1.2717801303208456,0.20345125062701727,Tseltal,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpTSArg_Spanish,-0.39105724998038055,0.39219123536572587,-0.9971085906999225,0.31871180360173895,Tseltal,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpTSYeli_Dnye,0.6212985872396831,0.48119933771081635,1.2911459732994508,0.19665306506135014,Tseltal,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpTSYeli_Dnye,0.852630906994606,0.39731279824941274,2.145994065007107,0.03187345220810664,Tseltal,TDS_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeMan,-0.13657009836066097,0.1314015256488665,-1.0393341910321956,0.29864933861845944,Tseltal,TDS_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeChild,0.27194780436248156,0.12253699712436929,2.219311805776237,0.02646551898924337,Tseltal,TDS_random_z-inb
fixed,zi,NA,(Intercept),-2.9454730548143635,1.616803303082756,-1.8217881230191917,0.06848714057124439,Tseltal,TDS_random_z-inb
fixed,zi,NA,tchiyr.std,-1.6151835894523943,1.2808491170410035,-1.261025649284722,0.207299606171045,Tseltal,TDS_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.37723051316460726,NA,NA,NA,Tseltal,TDS_random_z-inb
fixed,cond,NA,(Intercept),0.29932265608481956,0.2369614789030155,1.2631701045693062,0.20652805415768064,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,tchiyr.std,-0.025685772861203576,0.09335080106261609,-0.27515321313605606,0.7831985305316249,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan,-1.2627865876506303,0.3261541736404597,-3.8717474424922727,1.0805788518815442e-4,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild,-0.7292806185755284,0.27526937152493525,-2.6493344120904734,0.008065048367818775,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,nsk.std,0.334685256481558,0.0429594086724584,7.79073238724832,6.662188593054564e-15,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,group_corpYDNA_English,0.8202823961464231,0.25327674168784065,3.23868030945142,0.001200840903343311,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,group_corpYDUK_English,0.7437694749405265,0.2876947775834031,2.5852727713310912,0.00973019853091978,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,group_corpYDArg_Spanish,0.7839846170528583,0.27730650248784783,2.8271411237001707,0.004696562514071709,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,group_corpYDTseltal,0.769310456336416,0.2900631667902627,2.6522169803540923,0.007996513559148146,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpYDNA_English,-0.7662769302432847,0.3771248394140317,-2.031891962974141,0.04216459435624684,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpYDNA_English,-2.8123462580180054,0.46274872520205856,-6.077480292981895,1.2208567905785417e-9,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpYDUK_English,-0.12251372646066744,0.41433189593056124,-0.29568982659543974,0.7674669671676551,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpYDUK_English,-1.7068017953368253,0.43052815861602023,-3.964437078456206,7.356934826630264e-5,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpYDArg_Spanish,-0.09074787680685868,0.3951300489995618,-0.22966584555293929,0.8183514367986399,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpYDArg_Spanish,-1.2436974343887317,0.3720637278602763,-3.34270003029101,8.296753409270835e-4,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpYDTseltal,-0.6212710095550837,0.4811956949430892,-1.2910984368398415,0.19666954604747788,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpYDTseltal,-0.8525690100407947,0.3973123211216958,-2.1458408529436337,0.03188567803628869,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeMan,-0.13655899394595977,0.1314004684662872,-1.0392580448143234,0.2986847415931814,Yélî Dnye,TDS_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeChild,0.27194482333751413,0.12253710485111863,2.2192855271709284,0.026467305600162097,Yélî Dnye,TDS_random_z-inb
fixed,zi,NA,(Intercept),-2.945459908409199,1.616875984428756,-1.821698099777166,0.06850080645578817,Yélî Dnye,TDS_random_z-inb
fixed,zi,NA,tchiyr.std,-1.61511000079206,1.280935866310117,-1.2608827992650171,0.20735107627516647,Yélî Dnye,TDS_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.37723992363490216,NA,NA,NA,Yélî Dnye,TDS_random_z-inb
